rank,repo_name,language,influence_score,influence_tier,stars_score,openrank_score,activity_score,bus_factor_score,raw_stars,raw_openrank,raw_activity,raw_bus_factor,influence_trend,trend_value,community_health,growth_potential,market_position
145,vitejs/vite,Unknown,181.57,S-Tier,8.82,9.43,13.19,11.74,1235,225.12,667.5,209,declining,-0.2074,fair,low,leader
146,prusa3d/PrusaSlicer,C++,177.99,S-Tier,1.73,11.53,13.09,15.96,242,275.12,662.29,284,rising,0.2168,fair,high,leader
147,PrestaShop/PrestaShop,PHP,176.84,S-Tier,0.56,14.59,13.06,2.58,78,348.39,660.95,46,stable,0.0105,fair,low,leader
148,zero-to-mastery/start-here-guidelines,Unknown,175.24,S-Tier,0.29,7.68,13.08,10.34,41,183.3,661.87,184,rising,0.2433,fair,medium,leader
149,rails/rails,Ruby,173.66,S-Tier,1.88,8.45,13.01,5.62,263,201.65,658.19,100,stable,-0.0277,fair,low,leader
150,o3de/o3de,C++,172.84,S-Tier,0.67,5.55,13.05,1.46,94,132.43,660.36,26,stable,-0.0419,fair,low,leader
151,grafana/loki,Go,169.65,S-Tier,1.93,9.0,12.85,3.99,270,214.75,650.21,71,rising,0.1689,fair,medium,leader
152,bioconda/bioconda-recipes,Python,168.5,S-Tier,0.01,8.11,12.83,7.19,1,193.52,649.14,128,declining,-0.0501,fair,low,leader
153,angular/angular,TypeScript,167.1,S-Tier,5.34,13.32,12.64,3.15,748,318.03,639.83,56,declining,-0.1629,fair,low,leader
154,denoland/deno,TypeScript,165.07,S-Tier,4.66,9.47,12.63,3.99,653,226.04,639.09,71,rising,0.1545,fair,medium,leader
155,apache/beam,Java,163.91,S-Tier,1.06,8.39,12.65,1.69,148,200.25,640.26,30,rising,0.1341,fair,high,leader
156,strapi/strapi,TypeScript,160.73,S-Tier,5.04,13.32,12.36,10.22,706,317.85,625.7,182,stable,0.05,fair,low,leader
157,element-plus/element-plus,TypeScript,160.23,S-Tier,3.43,9.6,12.41,12.64,481,229.08,628.21,225,declining,-0.315,fair,low,leader
158,JuliaLang/julia,Julia,160.22,S-Tier,2.18,8.14,12.49,2.7,305,194.26,632.16,48,rising,0.0527,fair,medium,leader
159,SerenityOS/serenity,C++,159.88,S-Tier,2.36,9.17,12.46,1.35,331,218.99,630.79,24,rising,0.1612,fair,medium,leader
160,rancher/rancher,Go,158.19,S-Tier,1.23,8.29,12.41,3.88,172,197.86,628.25,69,declining,-0.0962,fair,low,leader
161,openssl/openssl,C,157.3,S-Tier,2.08,10.52,12.34,2.42,291,251.17,624.39,43,rising,0.0658,fair,medium,leader
162,uBlockOrigin/uAssets,Unknown,155.36,S-Tier,0.39,11.37,12.21,16.69,54,271.36,617.8,297,declining,-0.1384,fair,medium,leader
163,flutter/engine,C++,154.94,S-Tier,0.45,18.53,12.14,1.12,63,442.42,614.15,20,rising,0.0905,fair,medium,leader
164,microsoft/fluentui,TypeScript,154.49,S-Tier,2.33,12.6,12.19,1.29,326,300.89,616.95,23,stable,-0.0103,fair,low,leader
165,hashicorp/vault,Go,153.59,S-Tier,2.13,10.62,12.19,2.08,298,253.4,616.69,37,rising,0.067,fair,medium,leader
166,qgis/QGIS,C++,151.36,S-Tier,1.91,11.72,12.07,3.48,267,279.81,610.96,62,declining,-0.1084,fair,medium,leader
167,apache/hudi,Java,150.19,S-Tier,0.96,10.45,12.06,2.3,134,249.36,610.43,41,rising,0.1005,fair,medium,leader
168,kubevirt/kubevirt,Go,148.15,S-Tier,0.61,6.85,12.05,1.18,85,163.51,609.61,21,declining,-0.0551,fair,low,leader
169,oppia/oppia,Python,147.93,S-Tier,0.46,8.42,12.01,2.92,65,201.01,607.56,52,rising,0.1126,fair,high,leader
170,laravel/framework,PHP,147.5,S-Tier,1.89,9.17,11.95,5.17,265,218.89,604.64,92,declining,-0.1248,fair,low,leader
171,PaddlePaddle/PaddleOCR,Python,147.3,S-Tier,5.35,8.32,11.88,13.43,750,198.58,600.97,239,stable,-0.0473,fair,low,leader
172,cloudflare/cloudflare-docs,JavaScript,146.4,S-Tier,0.62,8.51,11.94,2.08,87,203.1,604.32,37,stable,0.0439,fair,low,leader
173,electron/electron,C++,143.88,S-Tier,4.97,9.67,11.73,9.16,696,230.83,593.64,163,declining,-0.0731,fair,low,leader
